IU Barcode,Spreadsheet Name,Row,Reason for Failure
30000136709627,AVC_Elements_SendtoDatabase_20180608.csv,9,"PO Generation Notes and Catalog Key were corrected, but Title was digitized - manually check Subject and Name Authority fields"
30000136844218,AVC_Elements_SendtoDatabase_20180608.csv,15,Title mismatch,"SS Title: Earthworm: Anatomy and Dissection
Filmdb Title: Earthworm: Anatomy And Dissection"
30000136844226,AVC_Elements_SendtoDatabase_20180608.csv,16,Title mismatch,"SS Title: Earthworm: Anatomy and Dissection
Filmdb Title: Earthworm: Anatomy And Dissection"
30000136849555,AVC_Elements_SendtoDatabase_20180608.csv,17,Title mismatch,"SS Title: Earthworm: Anatomy and Dissection
Filmdb Title: Earthworm: Anatomy And Dissection"
30000136938051,AVC_Elements_SendtoDatabase_20180608.csv,18,Title mismatch,"SS Title: Earthworm: Anatomy and Dissection
Filmdb Title: Earthworm: Anatomy And Dissection"
30000136810292,AVC_Elements_SendtoDatabase_20180608.csv,52,Title mismatch,"SS Title: The Solar SystemIts Motion
Filmdb Title: The Solar SystemÉIts Motion"
30000136810300,AVC_Elements_SendtoDatabase_20180608.csv,53,Title mismatch,"SS Title: The Solar SystemIts Motion
Filmdb Title: The Solar SystemÉIts Motion"
30000136942095,AVC_Elements_SendtoDatabase_20180608.csv,63,Title mismatch,"SS Title: Amoeba: Single Celled Organism
Filmdb Title: Amoeba : single-celled organism"
30000136942418,AVC_Elements_SendtoDatabase_20180608.csv,64,Title mismatch,"SS Title: Amoeba: Single Celled Organism
Filmdb Title: Amoeba : single-celled organism"
30000136614405,AVC_Elements_SendtoDatabase_20180608.csv,68,Title mismatch,"SS Title: For Better or For Worse
Filmdb Title: For Better Or For Worse"
30000136761248,AVC_Elements_SendtoDatabase_20180608.csv,80,Title mismatch,"SS Title: For Better or For Worse
Filmdb Title: For Better Or For Worse"
30000136761255,AVC_Elements_SendtoDatabase_20180608.csv,81,Title mismatch,"SS Title: For Better or For Worse
Filmdb Title: For Better Or For Worse"
30000136762949,AVC_Elements_SendtoDatabase_20180608.csv,82,Title mismatch,"SS Title: For Better or For Worse
Filmdb Title: For Better Or For Worse"
30000136707050,AVC_Elements_SendtoDatabase_20180608.csv,104,Title mismatch,"SS Title: News: What is it?
Filmdb Title: News: What Is It?"
30000136944950,AVC_Elements_SendtoDatabase_20180608.csv,107,Title mismatch,"SS Title: News: What is it?
Filmdb Title: News: What Is It?"
30000136944968,AVC_Elements_SendtoDatabase_20180608.csv,108,Title mismatch,"SS Title: News: What is it?
Filmdb Title: News: What Is It?"
30000136617259,AVC_Elements_SendtoDatabase_20180608.csv,163,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136613993,AVC_Elements_SendtoDatabase_20180608.csv,164,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136614017,AVC_Elements_SendtoDatabase_20180608.csv,165,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136614025,AVC_Elements_SendtoDatabase_20180608.csv,166,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136614074,AVC_Elements_SendtoDatabase_20180608.csv,167,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136707589,AVC_Elements_SendtoDatabase_20180608.csv,176,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136940651,AVC_Elements_SendtoDatabase_20180608.csv,187,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136941220,AVC_Elements_SendtoDatabase_20180608.csv,191,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136941238,AVC_Elements_SendtoDatabase_20180608.csv,192,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136942921,AVC_Elements_SendtoDatabase_20180608.csv,203,Title mismatch,"SS Title: Transport Systems in Animals
Filmdb Title: Transport systems in animals"
30000136612979,AVC_Elements_SendtoDatabase_20180608.csv,204,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136612987,AVC_Elements_SendtoDatabase_20180608.csv,205,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136612995,AVC_Elements_SendtoDatabase_20180608.csv,206,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136613001,AVC_Elements_SendtoDatabase_20180608.csv,207,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136613019,AVC_Elements_SendtoDatabase_20180608.csv,208,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136613548,AVC_Elements_SendtoDatabase_20180608.csv,209,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136613555,AVC_Elements_SendtoDatabase_20180608.csv,210,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136613571,AVC_Elements_SendtoDatabase_20180608.csv,211,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136613589,AVC_Elements_SendtoDatabase_20180608.csv,212,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136613597,AVC_Elements_SendtoDatabase_20180608.csv,213,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136613779,AVC_Elements_SendtoDatabase_20180608.csv,214,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136613787,AVC_Elements_SendtoDatabase_20180608.csv,215,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136706599,AVC_Elements_SendtoDatabase_20180608.csv,216,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136706664,AVC_Elements_SendtoDatabase_20180608.csv,217,Title mismatch,"SS Title: Microorganisms: Harmful Activities
Filmdb Title: Microorganisms : Harmful Activities"
30000136707662,AVC_Elements_SendtoDatabase_20180608.csv,220,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136841297,AVC_Elements_SendtoDatabase_20180608.csv,223,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136841305,AVC_Elements_SendtoDatabase_20180608.csv,224,PO has 0 Titles in Filmdb,SS Title: Microorganisms: Beneficial Activities
30000136614876,AVC_Elements_SendtoDatabase_20180608.csv,229,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136705716,AVC_Elements_SendtoDatabase_20180608.csv,236,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136762618,AVC_Elements_SendtoDatabase_20180608.csv,237,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136762626,AVC_Elements_SendtoDatabase_20180608.csv,238,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136763608,AVC_Elements_SendtoDatabase_20180608.csv,239,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136763616,AVC_Elements_SendtoDatabase_20180608.csv,240,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136763624,AVC_Elements_SendtoDatabase_20180608.csv,241,Title mismatch,"SS Title: Handling and Sexing Fruit Flies
Filmdb Title: Handling and sexing fruit flies"
30000136705245,AVC_Elements_SendtoDatabase_20180608.csv,244,Title mismatch,"SS Title: Safety in the Chemistry Laboratory
Filmdb Title: Safety in the chemistry laboratory"
30000136611468,AVC_Elements_SendtoDatabase_20180608.csv,248,Title mismatch,"SS Title: Camping--A Key to Conservation
Filmdb Title: Camping: A Key to Conservation"
30000136611666,AVC_Elements_SendtoDatabase_20180608.csv,249,Title mismatch,"SS Title: Camping--A Key to Conservation
Filmdb Title: Camping: A Key to Conservation"
30000136611674,AVC_Elements_SendtoDatabase_20180608.csv,250,Title mismatch,"SS Title: Camping--A Key to Conservation
Filmdb Title: Camping: A Key to Conservation"
30000136708033,AVC_Elements_SendtoDatabase_20180608.csv,253,Title mismatch,"SS Title: Camping--A Key to Conservation
Filmdb Title: Camping: A Key to Conservation"
30000136709650,AVC_Elements_SendtoDatabase_20180608.csv,254,Title mismatch,"SS Title: Camping--A Key to Conservation
Filmdb Title: Camping: A Key to Conservation"
30000136941048,AVC_Elements_SendtoDatabase_20180608.csv,258,Title mismatch,"SS Title: Camping--A Key to Conservation
Filmdb Title: Camping: A Key to Conservation"
30000136615493,AVC_Elements_SendtoDatabase_20180608.csv,265,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136615501,AVC_Elements_SendtoDatabase_20180608.csv,266,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Asexual Reproduction"
30000136615519,AVC_Elements_SendtoDatabase_20180608.csv,267,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136615543,AVC_Elements_SendtoDatabase_20180608.csv,268,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136616475,AVC_Elements_SendtoDatabase_20180608.csv,269,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136616483,AVC_Elements_SendtoDatabase_20180608.csv,270,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136706813,AVC_Elements_SendtoDatabase_20180608.csv,279,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136707399,AVC_Elements_SendtoDatabase_20180608.csv,280,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136750225,AVC_Elements_SendtoDatabase_20180608.csv,283,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922527,AVC_Elements_SendtoDatabase_20180608.csv,290,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922535,AVC_Elements_SendtoDatabase_20180608.csv,291,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922543,AVC_Elements_SendtoDatabase_20180608.csv,292,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922568,AVC_Elements_SendtoDatabase_20180608.csv,294,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922592,AVC_Elements_SendtoDatabase_20180608.csv,295,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922600,AVC_Elements_SendtoDatabase_20180608.csv,296,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136922618,AVC_Elements_SendtoDatabase_20180608.csv,297,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136940701,AVC_Elements_SendtoDatabase_20180608.csv,304,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136943945,AVC_Elements_SendtoDatabase_20180608.csv,322,Title mismatch,"SS Title: Basic Nature of Sexual Reproduction
Filmdb Title: Basic Nature Of Sexual Reproduction"
30000136709411,AVC_Elements_SendtoDatabase_20180608.csv,369,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136709619,AVC_Elements_SendtoDatabase_20180608.csv,372,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136752171,AVC_Elements_SendtoDatabase_20180608.csv,373,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136765306,AVC_Elements_SendtoDatabase_20180608.csv,377,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136765314,AVC_Elements_SendtoDatabase_20180608.csv,378,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136841271,AVC_Elements_SendtoDatabase_20180608.csv,379,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136841289,AVC_Elements_SendtoDatabase_20180608.csv,380,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136940412,AVC_Elements_SendtoDatabase_20180608.csv,389,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136941360,AVC_Elements_SendtoDatabase_20180608.csv,394,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136942715,AVC_Elements_SendtoDatabase_20180608.csv,399,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136942723,AVC_Elements_SendtoDatabase_20180608.csv,400,Title mismatch,"SS Title: Development of the Chick: Extra Embryonic Membranes
Filmdb Title: Development of the Chick: Extraembryonic Membranes"
30000136611104,AVC_Elements_SendtoDatabase_20180608.csv,420,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136611112,AVC_Elements_SendtoDatabase_20180608.csv,421,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136611120,AVC_Elements_SendtoDatabase_20180608.csv,422,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136611138,AVC_Elements_SendtoDatabase_20180608.csv,423,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136611146,AVC_Elements_SendtoDatabase_20180608.csv,424,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136611153,AVC_Elements_SendtoDatabase_20180608.csv,425,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136613183,AVC_Elements_SendtoDatabase_20180608.csv,426,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136706540,AVC_Elements_SendtoDatabase_20180608.csv,429,Title mismatch,"SS Title: Static Electricity
Filmdb Title: Electricity. Static Electricity"
30000136706789,AVC_Elements_SendtoDatabase_20180608.csv,464,Title mismatch,"SS Title: ""Dick""--A Fifth Grader
Filmdb Title: Dick--A Fifth Grader"
30000136706797,AVC_Elements_SendtoDatabase_20180608.csv,465,Title mismatch,"SS Title: ""Alice""--A High School Junior
Filmdb Title: Alice : a high school junior"
30000136707860,AVC_Elements_SendtoDatabase_20180608.csv,466,Title mismatch,"SS Title: ""Greg""--An Eigth Grader
Filmdb Title: Greg: An Eighth Grader"
30000136811753,AVC_Elements_SendtoDatabase_20180608.csv,467,Title mismatch,"SS Title: ""Alice""--A High School Junior
Filmdb Title: Alice : a high school junior"
30000136811761,AVC_Elements_SendtoDatabase_20180608.csv,468,Title mismatch,"SS Title: ""Alice""--A High School Junior
Filmdb Title: Alice : a high school junior"
30000136844523,AVC_Elements_SendtoDatabase_20180608.csv,469,Title mismatch,"SS Title: ""Keith""--A Second Grader
Filmdb Title: Keith - A Second Grader"
30000136844531,AVC_Elements_SendtoDatabase_20180608.csv,470,Title mismatch,"SS Title: ""Keith""--A Second Grader
Filmdb Title: Keith - A Second Grader"
30000136849373,AVC_Elements_SendtoDatabase_20180608.csv,471,Title mismatch,"SS Title: ""Greg""--An Eigth Grader
Filmdb Title: Greg: An Eighth Grader"
30000136849381,AVC_Elements_SendtoDatabase_20180608.csv,472,Title mismatch,"SS Title: ""Greg""--An Eigth Grader
Filmdb Title: Greg: An Eighth Grader"
30000136941659,AVC_Elements_SendtoDatabase_20180608.csv,473,Title mismatch,"SS Title: ""Dick""--A Fifth Grader
Filmdb Title: Dick--A Fifth Grader"
30000136941667,AVC_Elements_SendtoDatabase_20180608.csv,474,Title mismatch,"SS Title: ""Dick""--A Fifth Grader
Filmdb Title: Dick--A Fifth Grader"
30000136925520,AVC_Elements_SendtoDatabase_20180608.csv,475,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136935974,AVC_Elements_SendtoDatabase_20180608.csv,476,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136935982,AVC_Elements_SendtoDatabase_20180608.csv,477,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136935990,AVC_Elements_SendtoDatabase_20180608.csv,478,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136936006,AVC_Elements_SendtoDatabase_20180608.csv,479,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136936014,AVC_Elements_SendtoDatabase_20180608.csv,480,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136936022,AVC_Elements_SendtoDatabase_20180608.csv,481,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136936030,AVC_Elements_SendtoDatabase_20180608.csv,482,Title mismatch,"SS Title: Career in Bacteriology
Filmdb Title: A Career in Bacteriology"
30000136707175,AVC_Elements_SendtoDatabase_20180608.csv,495,Title mismatch,"SS Title: The Nervous System in Man
Filmdb Title: Nervous System in Man"
30000136938887,AVC_Elements_SendtoDatabase_20180608.csv,501,Title mismatch,"SS Title: The Nervous System in Man
Filmdb Title: Nervous System in Man"
30000136938895,AVC_Elements_SendtoDatabase_20180608.csv,502,Title mismatch,"SS Title: The Nervous System in Man
Filmdb Title: Nervous System in Man"
30000136704925,AVC_Elements_SendtoDatabase_20180608.csv,510,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704412,AVC_Elements_SendtoDatabase_20180608.csv,515,Title mismatch,"SS Title: Grapevine Twist
Filmdb Title: Grapevine twist"
30000136704438,AVC_Elements_SendtoDatabase_20180608.csv,517,Title mismatch,"SS Title: Grapevine Twist
Filmdb Title: Grapevine twist"
30000136704461,AVC_Elements_SendtoDatabase_20180608.csv,519,Title mismatch,"SS Title: Grapevine Twist
Filmdb Title: Grapevine twist"
30000136704503,AVC_Elements_SendtoDatabase_20180608.csv,521,Title mismatch,"SS Title: Grapevine Twist
Filmdb Title: Grapevine twist"
30000136704610,AVC_Elements_SendtoDatabase_20180608.csv,531,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136704693,AVC_Elements_SendtoDatabase_20180608.csv,534,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136704743,AVC_Elements_SendtoDatabase_20180608.csv,536,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
