Spreadsheet,IU Barcode,Row
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000136648940,9,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000079817171,10,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000079818039,11,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000147590388,12,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000068493380,1081,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000068493695,1082,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000147593085,1083,"
"
IUCAT_LetterS_Part2_20180112_SendtoDatabase_reviewed_20180206.csv,30000136740176,1084,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136814252,3,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136814260,4,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136842063,5,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136842071,6,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136610304,7,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136842253,8,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136842295,9,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136842303,10,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136834532,11,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701657,12,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701665,13,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136752569,14,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136752577,15,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136752585,16,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136752593,17,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136752601,18,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136752619,19,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136813809,20,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136813817,21,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136814575,22,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136814583,23,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136831231,24,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136831249,25,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136831975,26,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136831983,27,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136834540,28,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136837063,29,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136837071,30,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136841909,31,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136841917,32,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136841966,33,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136841974,34,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136841982,35,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136933979,36,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136933987,37,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136940271,38,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136940289,39,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136830654,78,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136830662,79,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136700253,80,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759663,81,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759671,82,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136845579,83,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136845587,84,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846478,85,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846486,86,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136847898,87,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136847906,88,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136941790,89,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136941808,90,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701020,116,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701038,117,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701095,118,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701103,119,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701129,120,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701137,121,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136754904,122,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136754912,123,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759705,124,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759713,125,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759861,126,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759879,127,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136759887,128,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136810672,129,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136810680,130,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136819061,131,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136819079,132,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136832031,133,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136840604,134,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136841099,135,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846494,136,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846502,137,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136830274,140,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136830282,141,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136764218,142,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136764226,143,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136811043,144,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136811050,145,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136815234,146,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136815242,147,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136701525,182,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769910,183,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769928,184,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769936,185,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769944,186,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769951,187,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769969,188,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136769977,189,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136813296,190,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136813304,191,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136703182,216,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136816323,217,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136816331,218,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136816844,219,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136816851,220,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136837683,221,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136837691,222,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136763871,223,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136763889,224,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136830076,225,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136830084,226,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136831272,227,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136766023,228,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136766031,229,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136845611,230,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136845629,231,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846015,232,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846023,233,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846098,234,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846106,235,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846114,236,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846130,237,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846171,238,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846189,239,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846197,240,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846205,241,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846239,242,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846247,243,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846254,244,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846262,245,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846270,246,"
"
FINAL_NET_Elements_SendtoDatabase_20180710.csv,30000136846288,247,"
"
