IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Picture Type,Color,Aspect Ratio,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000149809422,,Hydrator,"","","","","","",Frink Film Studios [Production Company],"","",1990 [TBD],"","","","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"Dub, Master","",0:19:25,,"","",Vault #34166,"","","","",,No,"","","",,"","","","","""Not for Dubbing: label on reel; Tr 1 box checked","","","",,,"",""
30000149820072,,Keeping Lakes Alive,"","","","","",Frink Film Studio [TBD],"","","",1988 [TBD],"","","","","","","",Moving Image,Video,Revised,"Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,Betacam SP,"",Music Lay-Off,,,"",Fuji,V38943,"","","","",,No,"","","",,"","","","","","","","",,,"",""
30000149832168,,Mr. Blastrac WFI,"","","","","","","","","",1983 [TBD],"",George W. Colburn Laboratory,"","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,U-matic,"","",0:10:00,,"","",,"","","","",,No,"","","",,"","Frink Film Studios stationary: [hanwritten] 1302 Mr Blastrac in 3/4"" top","","","","","",Yes (isolate in mold bin),,,"",""
30000149805289,,Keeping Lakes Alive,"","","","","",Frink Film Studio [TBD],"","","",1988 [TBD],"","","","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,Betacam SP,"",Bump,,,"",Sony,V38943,"","","","",,No,"","","",,"","","","","Labels on case: Tape #2 TC HRS 15, 16 and 17 4 slides at end","","","",,,"",""
30000149805271,,Keeping Lakes Alive,"","","","","",Frink Film Studio [TBD],"","","",1988 [TBD],"","","","","","","",Moving Image,Video,Revised,"Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,Betacam SP,"","",,,"",Sony,V38943,"","","","",,No,"","","",,"","","","","Labels on case"" Tape #1 TC HRS #11, 12, 13, 14","","","",,,"",""
30000149831608,,Martin's Creek,"","","","","",Frink Film Studio [TBD],"","","",1987/12/17 [TBD],"","","","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",Missing scenes 12/21/87 TR 3 Vault #20235 Machine #5,,,"","",,Reel 2,"","","",,No,"","","",,"","","","","","","","",,,"",""
30000149831616,,Martin's Creek,"","","","","",Frink Film Studio [TBD],"","","",1987/12/17 [TBD],"","","","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",Open & close TR 3 Vault #20235 Machine #13,,,"","",,"","","","",,No,"","","",,"","","","","","","","",,,"",""
30000149834677,,Keeping Lakes Alive,"","","","","",Frink Film Studio [TBD],"","","",1988 [TBD],"","","","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",10/25/91 Machine #13 4-way build sub Vault #38943,,,"","",,"","","","",,No,"","","",,"","","","","","","","",,,"",""
30000149834792,,GenChem: A Soda Ash Solution,"","","","","","","","","",1990/10/04 [TBD],"",dub,"","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",16mm mag audio only Vault #26483,0:05:52,,"","",,"","","","",,No,"","","",,"","","","","","","","",,,"",""
30000149834768,,GenChem: A Soda Ash Solution,"","","","","","","","","",1990/10/04 [TBD],"",dub,"","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",16mm D/N,0:02:00,,"","",,"","","","",,No,"","","",,"","","","","","","","",,,"",""
30000149834784,,GenChem: A Soda Ash Solution,"","","","","","","","","",1990/10/04 [TBD],"",dub,"","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",Sub - LA V Offs Vault #26483,0:07:00,,"","",,"","","","",,No,"","","",,"","","","","","","","",,,"",""
30000149806311,,Plants and lake treating,"","","","","","",Frink Film Studios [Production Company],"","",1988 [TBD],"","","","","","","",Moving Image,Video,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,1 inch videotape,"",10-27-88 Sub Vault #23960 Machine #11,0:05:00,,"","",,"","","","",,No,"","","",,"","","","","","","","",,,"",""
