IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000149831962,,Sears Electric Blanket,"","","","","","","","","",2005 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149832028,,Miles Lab products,"","","","","","","","","",2005 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,200,,,"","",,,No,"",,"","",,Silent,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149832036,,Hello Brat,"","","","","","","","","",2005 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149831079,,Wheelabrator,"","",""," | Wheelabrator opening, tools of industry... industrial scene, helicopter, etc. Film and mag wound on same core.","",Frink Film Studio [TBD],"","","","1971/09 [TBD], 1967/05/01 [TBD], 1967/04/28 [TBD]","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",WO 18722,,No,"",,Eco,"",,,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149830824,,Motor Home Interiors,"","","","","","","","","",1973/08 [TBD],"","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.0,,,,,,Placed in can
30000149830774,,Skamper Trail Trainer,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",W.O. 17700,,No,"",,"","",,,No,"","","",,,,Laboratory invoice,"Box 6, Folder 003",,,,,0.0,,,,,,Placed in can
30000149830956,,Dollis Polish,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Original,,400,,,,"","",,,No,"",,"","",,,No,"","","",,,Orig,,,,,,,0.0,,,,,,Recanned
30000149831970,,Amos Clinetest,"","","","","","","","","","","",original overs,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149832002,,Outline,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149832010,,St. Joe Bank and Trust presents Free Checking TV,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,400,,,,"","",,,No,"",,Color,"",,Sound,No,"","","",,,,,,,,,,0.0,,,,,,Recanned
30000149832481,,Steel Abrasives,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, A Roll",,400,,,,"","",,,No,"",,"","",,,No,"","","",,,,"Yes, wrapped in paper",,,,,,0.0,,,,,,Recanned
30000157706007,,Alka-Seltzer,"","","",Man has a headache; takes Alka-Seltzer. Part of a box of fragments. | Man with Alka-Seltzer ; woman in hat. Part of a box of fragments. | Man has headache; takes Alka-Seltzer. Part of a box of fragments.,"",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Positive, Projection Print",,400,,,,"","",,,No,"",,Black & White,"",,,No,Optical,"","",,,,,,,,,,0.0,,,,,,rehoused
